Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Champions Childrens Centre,268,Champions Childrens Centre,Toronto,North York,M3C 1C3,2024-08-02,Dormant 4,No,0.00,7.00,
Brightpath - Peel,269,Brightpath Charolais Centre,Peel,Brampton,L6Y 2R2,,Inactive/New,Yes,0.00,0.00,
Network Child Care Services - York,270,Jubilee Day Care,Toronto,Toronto,M6M2E4,2025-05-20,Active,Yes,8.00,63.75,
Ideal Child Services Group,276,Bonaventure Child Care Centre,Toronto,Toronto,M6K 1Z7,2024-04-10,Dormant 4,Yes,0.00,0.00,
Main Square Day Care Centre,278,Main Square Day Care Centre,Toronto,Toronto,M4C 4X3,,Inactive/New,No,0.00,0.00,
Lilys House Inc.,279,Lilys House,Toronto,East York,M4C 3G5,,Inactive/New,No,0.00,0.00,
Boulton Ave Child Care Centre,280,Boulton Ave Child Care Centre,Toronto,Toronto,M4M 2E9,2022-12-30,Inactive/New,No,0.00,0.00,
Muslim Association of Canada,281,Olive Grove Preschool & Childcare,Peel,Mississauga,L5K1B4,,Inactive/New,No,0.00,0.00,
Braeburn Woods Daycare,282,Braeburn Woods Daycare,Toronto,Etobicoke,M9W 2N8,2025-05-30,Active,No,106.58,615.13,
Ideal Child Services Group,285,Children Are People,Toronto,Toronto,M3H 3X2,2022-12-22,Inactive/New,Yes,0.00,0.00,
Ideal Child Services Group,286,Tumpane Childcare Centre,Toronto,Toronto,M3N 1L8,2023-06-05,Inactive/New,Yes,0.00,0.00,
Ideal Child Services Group,287,Pineway Childcare Learning Centre,Toronto,Toronto,M2H 1A8,2024-08-12,Dormant 4,Yes,0.00,8.00,
Ideal Child Services Group,288,Baycrest Child Care Centre,Toronto,Toronto,M6A 1W4,,Inactive/New,Yes,0.00,0.00,
Church St. School Day Care Centre,289,Church St. School Day Care Centre,Toronto,Toronto,M4Y1B7,2025-05-07,Active,No,35.88,480.99,
Kennedy Road Kiddy Kare,290,Kennedy Road Kiddy Kare,Toronto,Scarborough,M1K 2B8,2022-06-03,Inactive/New,No,0.00,0.00,
The South Drive Children's Circle,291,The South Drive Children's Circle,Toronto,Toronto,M4W 1R1,2025-05-14,Active,No,70.08,369.25,
ABC Montessori,296,Matheson - Primary,Peel,Mississauga,L4Z 1X8,2025-04-23,Active,No,8.50,27.50,
ABC Montessori,297,Cawthra,Peel,Mississauga,L4Z 1V8,,Inactive/New,No,0.00,0.00,
St. Michael and All Angels Day Care Inc.,298,St. Michael and All Angels Day Care Inc.,Toronto,Toronto,M6C 1A3,2025-05-09,Active,No,271.78,1856.08,
Glen Cameron For Kids,299,Glen Cameron For Kids,Toronto,Toronto,M2N1E8,,Inactive/New,No,0.00,0.00,
