Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Community Resource Centre,,Community Resource Centre,Wellington,Fergus,N1M 1Z5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Cornerstone Preschool,,Cornerstone Preschool,Hamilton,Hamilton,L8J 2V8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Curious Caterpillars,,Curious Caterpillars - College View,Toronto,Toronto,M5P 1J4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Curious Caterpillars,,Alphabet Academy Childcare,Toronto,Toronto,M4S 1R4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Early Learners’ Montessori School - Whitby,,Early Learners’ Montessori School - Whitby,Durham,Whitby,L1N 5B2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Earth Kidz ELC,,Earth Kidz ELC - Nepean,Ottawa,Nepean,K2G 5X3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Earth Kidz ELC,,Earth Kidz ELC - Manotick,Ottawa,Ottawa,K4M 1A6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
East Scarborough Boys and Girls Club,,Galloway,Toronto,Scarborough,M1E 1W7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
East Scarborough Boys and Girls Club,,Bendale,Toronto,Scarborough,M1H 1M4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
East Scarborough Boys and Girls Club,,St. Malachy,Toronto,Scarborough,M1E 3Y3,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
East Scarborough Boys and Girls Club,,West Rouge,Toronto,Scarborough,M1C 2X8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
East Scarborough Boys and Girls Club,,Charlottetown,Toronto,Scarborough,M1C 2C7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
East Scarborough Boys and Girls Club,,Brich Clif Heights,Toronto,Scarborough,M1N 2J1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
East Toronto Village Childrens Centre ,,East Toronto Village Childrens Centre ,Toronto,Toronto,M4E 2Z4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
East York East Toronto Family Resources,,St. Paul Catholic School,Toronto,Toronto,M5A 3E5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
East York East Toronto Family Resources,,St Luke's Anglican Church,Toronto,Toronto,M4C 3G3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
East York East Toronto Family Resources,,Access Alliance Community Health Centre,Toronto,Toronto,M1L 1A8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Erindale Early Education Montessori & Childcare,,Erinadale Early Education Montessori & Childcare,Peel,Mississauga,L5C 1C4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Eureka Kids Inc.,,Eureka Kids - Erin,Wellington,Erin,N0B 1T0,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Finch Flyers Child Care Program,,Finch Flyers Child Care Program,Toronto,Toronto,M2N 4S3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Funtastic Learning Center,,Funtastic Learning Center,York Region,Thornhill,L3T 6G6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Genius Minds Inc.,,Huron Park Montessori,Peel,Mississauga,L5C 3P5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Gerrard Early Learning Centre,,Gerrard Early Learning Centre,Toronto,Toronto,M5A 2E4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Glen Abbey Montessori School,,Glen Abbey Montessori School,Halton,Oakville,L6M 3K4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Greenwood  Montessori School,,Kids Love Daycare and Montessori,Toronto,Scarborough,M1E2W7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Gwillimbury Hills Daycare,,Gwillimbury Hills Daycare,York Region,Sharon,L0G 1V0,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Happy Beginnings Day Care Centre Ltd.,,Happy Beginnings Day Care Centre Ltd.,Halton,Burlington,L7N 2R5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Helping Hands Daycare,,Helping Hands Daycare - Whitby,Durham,Whitby,L1R 0K6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Helping Hands Daycare,,Helping Hands Daycare - Brooklin,Durham,Brooklin,L1M 2E9,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Helping Hands Daycare,,Helping Hands Daycare - Port Perry,Durham,Port Perry,L9L 0A2,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Hillside Montessori School,,Hillside Montessori School,Toronto,Etobicoke,M9A 3C1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Holy Family Children Centre,,Holy Family Childcare Centre,Toronto,Toronto,M6K 2V6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Home Care,,Bhaloo Family,York Region,Markham,L3T 1M2 ,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Huron Playschool Co-operative Incorporated,,Huron Playschool Co-operative,Toronto,Toronto,M5S 2G5 ,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Inspire Montessori School Corp,,Inspire Montessori School,York Region,Markham,L6E 0H6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Ivy Montessori School,,Ivy Montessori School,Toronto,Etobicoke,M6P 3A8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Jingbao Mandarin Bilingual Childrens Centre,,Jingbao - Mississauga,Peel,Mississauga,M2J 4R4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Jolly Jolly Arts and Reading Inc,,Jolly Jolly Arts and Reading Inc,York,Markahm,L3R 9T9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Katimavik Cooperative Nursery School,,Katimavik Cooperative Nursery School,Ottawa,Kanata,K2L 1Z1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Kids & Company Ltd - Toronto,,Kids & Company - Queen St.,Toronto,Toronto,M5V 2A4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Kids Can Doodle,,Kids Can Doodle B & A - San Marco,York Region,Woodbridge,L4L 6H3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Kids Can Doodle,,Kids Can Doodle B & A - St. Mary Immaculate,York Region,Richmond Hill,L4C 9N9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Kids Zone Child Care Centre,,Kids Zone Child Care Centre,Peel,Mississauga,L5K 1B1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Kidz World Childcare Centre - York Region,,Kidz World Childcare Centre - Richmond Hill,York Region,Richmond Hill,L4C 6V6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Kidz World Childcare Centre - York Region,,Kidz World Childcare Centre - King City,York Region,King City,L7B 1G1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Kinderbrook Montessori,,Kinderbrook Montessori - North York,Toronto,North York,M4A 2S6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
La Citadelle Daycare,,La Citadelle Daycare,Toronto,North York,M3B 2R7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Lakeshore Area Multi-Service Project,,LAMP CHC -  Neighbourhood Lane,Toronto,Etobicoke,M8Y 0A4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Le Club - York,,Le Club - John St.,York,Thornhill,L3T 5W4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
LEF - Toronto,,LEF -Donald C Macdonald Child Care Centre,Toronto,Toronto,M6M 4L8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Little Acorns Montessori School,,Little Acorns Montessori School,Toronto,Toronto,M3A 2K1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Little Angels Childcare Centre,,Little Angels Childcare Centre,Toronto,Toronto,M6E 3N9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Little Angels Christian Child Care,,Little Angels Christian Child Care 1,Peel,Mississauga,L5V 2M4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Little Heros Daycare Centre,,Little Heros Daycare Centre,Ottawa,Kanata,K2M 2B4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Little Learners Childcare,,Little Learners Childcare,York Region,Vaughan,L4L 9T8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Little Miracles Child Care,,Little Miracles Child Care,York Region,Markham,L3R 5N9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Little Valley Montessori Inc.,,Little Valley Montessori School,York Region,Richmond Hill,L4C 2R5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Macaulay Centres for Children ,,Macaulay Centres for Children - Pelmo Park,Toronto,North York,M9N 2N1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Macaulay Centres for Children ,,Macaulay Centres for Children - St. Paul VI,Toronto,Toronto,M6N 2X8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Macaulay Child Development Centre - Toronto,,Macaulay C.D.C - Warren Park Child Care Centre,Toronto,York,M6S 4P4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Macaulay Child Development Centre - Toronto,,Macaulay C.D.C - Mountview Centre,Toronto,York,M6S 4A3,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Macaulay Child Development Centre - Toronto,,Macaulay C.D.C - Humberwood Centre,Toronto,Etobicoke,M9W 7A6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Macklin House  KidZone ,,Macklin House KidZone - O.M. Mackillops PS,York Region,Richmond Hill,L4C 4P7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Macklin House KidZone,,Macklin House KidZone - Coppard Glen,York Region,Markham,L3S 2T5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Malton Neighbourhood Services,,Malton Neighbouhood Services,Peel,Mississauga,L4T 1Y2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Manor Park Community Council,,Manor Park Community Council,Ottawa,Ottawa,K1K 3C9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Maria Montessori School Inc.,,Maria Montessori School,Toronto,Toronto,M4G 3Y7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
McMurrich Sprouts Day Care,,McMurrich Sprouts Day Care,Toronto,Toronto,M6G 3S8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Mothercraft Ottawa Waterbridge Program,,Mothercraft Waterbridge Program,Ottawa,Ottawa,K2G 6T3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Munns Child Care Centre Inc.,,Munns Child Care – Dundas,Halton,Oakville,L6H 7C4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
My School Cooperative Nursery Inc.,,My School Cooperative Nursery,Toronto,Toronto,M6R 2N2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Network,,Network - Event Place,Toronto,Toronto,M6K 3C3,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Network Child Care Services,,Network Child Care Services - 1520,Toronto,Toronto,M6G3T10,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
New Playland Nursery School,,New Playland Nursery School,Peel,Mississauga,L5B 1L9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Ola Day Care,,Ola Day Care,Toronto,Toronto,M6R 1X6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Orange Seeds Montessori Centre,,Orange Seeds Montessori Centre,Halton,Oakville,L6K 3V7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Orchardview Montessori School,,Orchardview Montessori School,Ottawa,Ottawa,K1C 7K9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Oriole Nursery School,,Oriole Nursery School,Toronto,Toronto,M4T 1Z8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Our Lady of Hope Catholic Elementary School,,Our lady of Hope Catholic Elementary School B & A,York Region,Richmond Hill,L4E 4B8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Our Lady of the Annunciation Child Care Centre,,Our Lady of the Annunciation Child Care Centre,York Region,Richmond Hill,L4E 2L3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Pathway Childcare Centre,,Pathway Childcare Centre,Peel,Brampton,L6Z 3X3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Pickering Pentecostal Church Daycare Inc.,,Great Beginnings Childcare,Durham,Pickering,L1W 3R6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Pris-T-Gis Montessori School,,Pris-T-Gis Montessori School,York Region,Markham,L3R 0K9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Pris-T-Gis Montessori School,,Pris-T-Gis Montessori School - Bullock Campus,York Region,Markham,L3P 1W2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Rainbow Academy Learning,,Rainbow Academy Learning,Peel,Bolton,L7E 1E8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Rainbows End Daycare,,Rainbows End Daycare- Lamberton Blvd,Toronto,Toronto,M3J 1G6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Reg. of Durham Children Services Division,,Sunderland ELCC,Durham,Sunderland,L0A 1K0,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Reg. of Durham Children Services Division,,Lakewoods ELCCC and B/A,Durham,Oshawa,L1J 1G5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Regional Municipality of Halton,,Regional Municipality of Halton,Halton,Oakville,L6M 3L1,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Regional Municipality of Halton,,Regional Municipality of Halton - Margaret Drive,Halton,Oakville,L6K 3P3,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Regional Municipality of Halton,,Regional Municipality of Halton - Sedgewick Crescent,Halton,Oakville,L6L 1X6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Regional Municipality of Halton,,Regional Municipality of Halton - Maple Avenue,Halton,Georgetown,L7G 1X8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Royal Academy Montessori Preschool,,Royal Academy Montessori Preschool,Peel,Brampton,L6X 5K7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Royal Cachet Montessori School,,Royal Cachet Montessori - Stouffville Campus,Stouffville ,Stouffville,L4A 0Y2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Royal York Road Nursery School,,Royal York Road Nursery School,Toronto,Etobicoke,M8Y 2V3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Safari Kids,,Safari Kids - South Aurora,York Region,Aurora,L4G 6X8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Sandy Hill Child Care,,Sandy Hill Child Care,Ottawa,Ottawa,K1N 5N7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Shining Stars Montessori,,Shining Stars Montessori,Durham,Brampton,L6X 0G3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Simply Smart Child Care Centres - Halton,,SSCCC - Iroquois Shore,Halton,Oakville,L6H 1M3,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Simply Smart Child Care Centres - Halton,,SSCCC - Winston Churchill,Halton,Oakville,L6J 0A3,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Simply Smart Child Care Centres - York,,SSCCC - Vaughan,York Region,Vaughan,L4L 4M5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Sleepy Snuggles Inc.,,Sleepy Snuggles,Halton,Milton,L9T 0J6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Snowdrop Montessori School,,Snowdrop Montessori School,Toronto,Etobicoke,M9P 3A8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Social Enterprise for Canada,,Welcome Centre Child Care Newmarket,York,Newmarket,L3X 1V6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Somerset West Community Health Centre,,Nanny Goat Hill Nursery School,Ottawa,Ottawa,K1R 6R1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
St. Andrew’s Co-operative Playschool,,St. Andrew’s Co-operative Playschool,York Region,Markham,L3P 1X5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
St. Gabriel Child Care Centres of Woodbridge,,St. Gabriel Child Care - Fiori Dr.,York,Vaughan,L4L 5S4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
St. George Mini School & Infant care,,St. George Mini School - 25 Mallard Rd,Toronto,Toronto,M3B 1S4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
St. George Mini School & Infant care,,St. George Mini School - 33 Mallard Rd,Toronto,Toronto,M3B 1S4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
St. Lawrence Cooperative,,St. Lawrence Cooperative - Preschool,Toronto,Toronto,M5A 4G6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
St. Martins Manor ELC,,St. Martins Manor ELC,Hamilton,Hamilton,L9C 1X4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Stepping Stones,,Stepping Stones,Toronto,Toronto,M6S 2Y6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Strawberry Patch Montessori School,,Strawberry Patch Montessori School,Stouffville ,Stouffville,L4A 1H2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The Apple Tree Preschool,,The Apple Tree Preschool - Whitby,Durham,Whitby,L1P 1H8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The BEEZ KNEEZ Nursey School,,The BEEZ KNEEZ Millwood Road,Toronto,Toronto,M4S 1K3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The BEEZ KNEEZ Nursey School,,The BEEZ KNEEZ Lytton Park,Toronto,Toronto,M5N 2G8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The Castle Childcare Centre,,The Castle Childcare Centre,Toronto,Toronto,M9A 4M4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The Clover School,,The Clover School - High Park Campus,Toronto,Toronto,M6P 2X7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The Laurel School,,The Laurel School,Toronto,North York,M3B 2W1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The Nesting Nook,,The Nesting Nook,Hamilton,Hamilton,L0R 1C0,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
The Village Children's Programs,,Sir Richard W. Scott School Age Program,York Region,Markham,L3S 3S8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
The Village Children's Programs,,St Kateri Tekakwitha School Age Program,York Region,Markham,L3P 4B5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
The Village Children's Programs,,St Edward School Age Program,York Region,Markham,L3P 7M8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
The Village Children's Programs,,St. Justin Martyr School Age Program,York Region,Unionville,L3R 8K4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
The Village Children's Programs,,St Julia Billiart School Age Program,York Region,Markham,L6E 1X5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
The Village Children's Programs,,St Patrick School Age Program,York Region,Markham,L3P 1B6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
The Village Children's Programs,,Blessed Chiara Badano Child Care,York,Stouffville,L4A 4X5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
The Workaround,,The Workaround,Toronto,Toronto,M4C 1J9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
TMS School,,TMS School,York Region,Richmond Hill,L4B 3M7,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Topcliff Community Childcare,,Topcliff Community Childcare,Toronto,Toronto,M3M 1B1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Toronto French Montessori School,,Stouffville Campus,York Region,Whitchurch-Stouffville,L4A 1G8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Toronto French Montessori School,,Thornhill Campus,York Region,Thornhill,L4J 5Y4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Toronto French Montessori School,,Willowdale,Toronto,Toronto,M2N 1X8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Two Trees Childcare Centre,,Two Trees Childcare Centre,York Region,Newmarket,L3Y 8R9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,Duke of Cambridge Before and After School Age Program,Durham,Bowmanville,L1C 2N4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,Lord Elgin Preschool and School Age Program,Durham,Ajax,L1S 1T6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,S.T. Worden Before and After School Age Program,Durham,Courtice,L1E 1S7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,Sunset Heights Before and After School Age Program,Durham,Oshawa,L1G 4G7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,Vincent Massey School Age Program,Durham,Bowmanville,L1C 1S2,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,Vincent Massey Oshawa Before and After School Age Program,Durham,Oshawa,L1G 6L4,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,Walter E. Harris Before and After School Age Program,Durham,Oshawa,L1G 6A2,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
"Umbrella Central Day Care
Services Inc.",,Waverley Before and After School Age Program,Durham,Bowmanville,L1C 3Y8,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Unicorn Day Care,,Unicorn at Brown,Toronto,Toronto,M4V 2J1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Unicorn Day Care,,Unicorn at Dupont,Toronto,Toronto,M5R 2J4,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Unicorn Day Care,,Cottingham Child Care Centre,Toronto,Toronto,M4V 1E3,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
United Children Academy,,United Children Academy,Hamilton,Hamilton,L8R 3P6,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Uxbridge Montessori School,,Uxbridge Montessori School,Durham,Uxbridge,L3P 1Y2,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Van Horne Daycare Centre,,Van Horne Daycare Centre,York Region,North York,L1X 1Z1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Williamson Road Daycare Centre,,Williamson Road Daycare Centre,Toronto,Toronto,M4E 1K5,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Willowbrae Academy - Peel,,Willowbrae Academy - Brampton,Peel,Brampton,L7A 0N5,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Willowbrae Academy - Toronto,,Willowbrae Academy - Bayview Village,Toronto,North York,M2N 3B7,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
Wonderkids Daycare Centre,,Wonderkids Daycare Centre,Toronto,Toronto,M9C 3S9,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Woodgreen,,Woodgreen Communiity Services - 260 Wellesley,Toronto,Toronto,M4X 1G6,,Inactive/New,Yes,0.00,0.00,Never ordered; no ID yet
York Montessori School,,York Montessori School,York Region,Richmond Hill,L4S 1P1,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
Young Minds Montessori Preschool Limited,,Young Minds Montessori Preschool,Peel,Mississauga,L5G 4N8,,Inactive/New,No,0.00,0.00,Never ordered; no ID yet
